Loan_ID,Channel,Seller,Interest_Rate,UPB,Loan_Term,Origination_Date,First_Payment_Date,LTV,CLTV,Num_Borrowers,DTI,Borrower_FICO,First_Time_Buyer,Loan_Purpose,Dwelling_Type,Unit_Count,Occupancy,State,Zip,Insurance%,Product,Mortgage_Insurance_Type,Relocation_Indicator,Period,Current_IR,Current_UPB,Age,Mod_Ind,Zero_Bal_Cd,FICO_bins,Term_bins,Current_Status,Origin_Month,Origin_Year
100118778860,R,OTHER,5.125,96000,360,03/2003,05/2003,95,95.0,1.0,36.0,746.0,N,P,SF,1,P,TX,787,30.0,FRM,1.0,N,201402,5.125,76987.7,130,N,Prepaid,740-780,<= 30 Years,Prepaid,05,2003
100329229881,R,OTHER,5.25,118000,180,05/2003,07/2003,75,75.0,2.0,59.0,740.0,N,R,SF,2,P,MA,27,0.0,FRM,0.0,N,201807,5.25,570.81,181,N,Prepaid,700-740,<=15 Years,Prepaid,07,2003
100366774784,R,"CITIMORTGAGE, INC.",5.375,64000,180,10/2003,12/2003,78,78.0,2.0,31.0,604.0,N,C,SF,1,P,NY,146,0.0,FRM,0.0,N,201807,5.375,555.64,176,N,Prepaid,0-620,<=15 Years,Prepaid,12,2003
100738728736,R,OTHER,5.125,60000,180,05/2003,07/2003,17,17.0,2.0,11.0,758.0,N,C,SF,1,P,RI,28,0.0,FRM,0.0,N,201502,5.125,1000.07,140,N,Prepaid,740-780,<=15 Years,Prepaid,07,2003
101006769982,C,"BANK OF AMERICA, N.A.",5.25,50000,360,05/2003,07/2003,80,80.0,2.0,20.0,779.0,N,P,SF,1,P,MO,638,0.0,FRM,0.0,N,201502,5.25,35290.05,140,N,Prepaid,740-780,<= 30 Years,Prepaid,07,2003
101015950163,B,"GMAC MORTGAGE, LLC",6.375,94000,360,09/2003,11/2003,60,60.0,2.0,46.0,788.0,N,P,CO,1,P,MA,18,0.0,FRM,0.0,N,200701,6.375,90248.78,39,N,Prepaid,780+,<= 30 Years,Prepaid,11,2003
101021158002,C,"BANK OF AMERICA, N.A.",5.5,281000,360,07/2003,09/2003,67,67.0,2.0,26.0,666.0,N,C,SF,1,P,CA,914,0.0,FRM,0.0,N,200705,5.5,265570.12,45,N,Prepaid,660-700,<= 30 Years,Prepaid,09,2003
101126431206,R,OTHER,4.5,113000,180,09/2003,11/2003,37,37.0,2.0,38.0,721.0,N,C,SF,1,P,CA,956,0.0,FRM,0.0,N,201311,4.5,46368.5,121,N,Prepaid,700-740,<=15 Years,Prepaid,11,2003
101139766239,R,OTHER,6.25,154000,360,10/2003,12/2003,64,64.0,1.0,27.0,654.0,N,C,SF,2,P,MA,18,0.0,FRM,0.0,N,200601,6.25,150450.41,26,N,Prepaid,620-660,<= 30 Years,Prepaid,12,2003
101163645194,R,OTHER,5.375,150000,360,07/2003,09/2003,55,55.0,2.0,21.0,628.0,N,C,CO,1,P,MA,21,0.0,FRM,0.0,N,200906,5.375,136445.33,70,N,Prepaid,620-660,<= 30 Years,Prepaid,09,2003
